No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ESO 501- G 002,10h30m38.5621s,-27d35m34.552s,157.6606757,-27.5929311,0.011882,3562.133985956,SUN,G,"IR,UV,Vis",35.7263473272581,40,1,46,14,7,14,7,12,4,2
2,LEDA 753808,10h31m39.4320s,-27d30m49.680s,157.9143,-27.5138,0.011914909480478,3572.0,S1L,,Radio,48.3422630791853,4,0,0,4,1,0,0,0,0,0
3,LEDA 749549,10h24m39.0240s,-27d48m42.120s,156.1626,-27.8117,0.0120016361452295,3598.0,S1L,G,,49.9631087578062,3,0,0,3,1,0,0,0,0,0
4,ESO 501- G 005,10h32m27.9707s,-27d31m45.575s,158.1165449,-27.5293264,0.013433,4027.112088314,SUN,G,"IR,UV,Vis",59.1434652276606,21,1,38,12,9,14,0,1,4,1
