No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
86,HCC 071,10h36m45.6000s,-27d34m57.400s,159.19,-27.58261111111,0.0111810684710421,3352.00000000001,UUN,G,,3.30434500000958,4,0,2,3,1,0,0,0,0,0
87,HCC 093,10h36m56.5000s,-27d30m24.800s,159.23541666667,-27.50688888889,0.0111810684710421,3352.00000000001,UUN,G,,3.32302586725703,4,0,2,3,1,0,0,0,0,0
88,HCC 064,10h36m29.8000s,-27d33m27.000s,159.12416666667,-27.5575,0.0111810684710421,3352.00000000001,UUN,G,,3.34657917763084,4,0,2,3,1,0,0,0,0,0
89,HCC 084,10h36m28.0000s,-27d30m55.100s,159.11666666667,-27.51530555556,0.0111810684710421,3352.00000000001,UUN,G,,3.35722536186627,3,0,2,2,1,0,0,0,0,0
90,HCC 083,10h36m27.4000s,-27d31m27.800s,159.11416666667,-27.52438888889,0.0111810684710421,3352.00000000001,UUN,G,,3.40353378921559,4,0,2,3,1,0,0,0,0,0
91,HCC 110,10h36m27.5000s,-27d32m12.300s,159.11458333333,-27.53675,0.0111810684710421,3352.00000000001,UUN,G,,3.40727456605554,3,0,2,2,1,0,0,0,0,0
92,2MASX J10363499-2728442,10h36m35.0049s,-27d28m44.709s,159.145854,-27.479086,0.015617,4681.858816586,SUN,G,"IR,UV",3.42623786311637,34,0,21,11,9,2,0,0,2,0
93,WISEA J103642.77-273508.6,10h36m42.7745s,-27d35m08.681s,159.1782274,-27.5857448,0.011915,3572.02713707,UUN,G,"IR,UV,Xray",3.42971786313981,15,0,19,6,5,0,1,1,1,0
94,NGC 3311:[MMH2011] HUCD 10,10h36m31.8000s,-27d29m13.800s,159.1325,-27.48716666667,0.016598,4975.955217884,UUN,,Vis,3.46806949024376,3,0,3,3,3,0,0,0,0,0
95,NGC 3311:[MMH2011] HUCD 04,10h36m34.8000s,-27d34m45.800s,159.145,-27.57938888889,0.011885,3563.03336333,UUN,,Vis,3.5165403050501,3,0,3,3,3,0,0,0,0,0
96,NGC 3311:[MMH2011] 088,10h36m46.0000s,-27d35m10.000s,159.19166666667,-27.58611111111,0.01014,3039.89552412,UUN,,Vis,3.52784846571939,2,0,2,2,2,0,0,0,0,0
97,WISEA J103640.35-273514.6,10h36m40.3554s,-27d35m14.600s,159.1681477,-27.5873891,0.010831,3247.052112598,UUN,,"IR,Vis",3.56672902523791,2,0,14,3,2,0,0,0,0,0
98,NGC 3311:[MMH2011] HUCD 43,10h36m48.4000s,-27d35m03.100s,159.20166666667,-27.58419444444,0.016018,4802.075592244,UUN,,Vis,3.56704116085041,3,0,3,3,3,0,0,0,0,0
99,WISEA J103644.93-272810.2,10h36m44.9395s,-27d28m10.208s,159.1872482,-27.4695023,0.009156,2744.899745448,SUN,G,"IR,UV,Xray",3.57917515227302,48,0,33,16,17,2,3,2,2,0
100,NGC 3311:[MMH2011] 074,10h36m26.8000s,-27d32m23.500s,159.11166666667,-27.53986111111,0.005237,1570.013102546,UUN,,Vis,3.59131195666717,2,0,2,2,2,0,0,0,0,0
101,NGC 3311:[MMH2011] HUCD 24,10h36m56.8000s,-27d33m30.700s,159.23666666667,-27.55852777778,0.009543,2860.919426694,UUN,,Vis,3.60315874792724,3,0,2,3,3,0,0,0,0,0
102,HCC 076,10h36m26.5000s,-27d32m16.000s,159.11041666667,-27.53777777778,0.0111810684710421,3352.00000000001,UUN,G,,3.63562554415488,3,0,2,2,1,0,0,0,0,0
103,NGC 3311:[MMH2011] 072,10h36m47.0000s,-27d35m18.100s,159.19583333333,-27.58836111111,0.009033,2708.025273114,UUN,,Vis,3.71055567545264,2,0,2,2,2,0,0,0,0,0
104,HCC 081,10h36m26.5000s,-27d32m41.600s,159.11041666667,-27.54488888889,0.0111810684710421,3352.00000000001,UUN,G,,3.72420964122241,5,0,2,4,1,0,0,0,0,0
105,NGC 3311:[MMH2011] 082,10h36m42.9000s,-27d27m59.100s,159.17875,-27.46641666667,0.007345,2201.97560401,UUN,,Vis,3.73023796430524,2,0,2,2,2,0,0,0,0,0
106,NGC 3311:[MMH2011] HUCD 37,10h36m35.6000s,-27d35m11.000s,159.14833333333,-27.58638888889,0.013603,4078.076806174,UUN,,Vis,3.80954058576187,3,0,3,3,3,0,0,0,0,0
107,2MASX J10363551-2728122,10h36m35.5027s,-27d28m12.504s,159.147928,-27.47014,0.010521,3154.116450618,SUN,G,"IR,UV",3.8536507685477,30,0,21,14,9,2,3,2,2,0
108,HCC 092,10h36m28.0000s,-27d29m36.700s,159.11666666667,-27.49352777778,0.0111810684710421,3352.00000000001,UUN,G,,3.88103094216262,3,0,2,2,1,0,0,0,0,0
109,NGC 3311:[MMH2011] 103,10h36m32.4000s,-27d34m53.600s,159.135,-27.58155555556,0.01499,4493.88894542,UUN,,Vis,3.9145370603813,2,0,2,2,2,0,0,0,0,0
110,WISEA J103629.71-273422.1,10h36m29.7105s,-27d34m22.182s,159.123794,-27.5728284,0.010677,3200.884074066,UUN,,"IR,Vis,Xray",3.9178470893614,4,0,31,6,2,0,0,0,0,0
111,2MASX J10365705-2734041,10h36m57.0408s,-27d34m04.328s,159.23767,-27.567869,0.014807,4439.026925606,SUN,G,IR,3.95553552043766,19,0,19,7,4,2,1,1,2,0
112,WISEA J103643.14-273542.4,10h36m43.1000s,-27d35m43.500s,159.17958333333,-27.59541666667,0.0111810684710421,3352.00000000001,UUN,G,IR,4.0109314345253,4,0,14,4,1,0,0,0,0,0
