ra,dec,name,color,radius
183.1697,6.8411,gal,red,5.0
183.1778,12.7629,gal,red,5.0
183.1924,10.8655,gal,red,5.0
183.2018,13.976,gal,red,5.0
183.2047,13.3472,gal,red,5.0
183.2401,19.3618,gal,red,5.0
183.2495,7.2988,gal,red,5.0
183.2627,7.0389,gal,red,5.0
183.269,15.8929,gal,red,5.0
183.2898,13.5847,gal,red,5.0
183.2945,7.2194,gal,red,5.0
183.307,13.5228,gal,red,5.0
183.3236,13.1577,gal,red,5.0
183.3599,14.772,gal,red,5.0
183.3829,10.3107,gal,red,5.0
183.4197,15.4541,gal,red,5.0
183.4226,9.0111,gal,red,5.0
183.4478,13.4263,gal,red,5.0
183.451,12.6906,gal,red,5.0
183.4524,14.8992,gal,red,5.0
183.454,24.2652,gal,red,5.0
183.4599,7.2009,gal,red,5.0
183.4716,7.4544,gal,red,5.0
183.4734,13.1727,gal,red,5.0
183.5057,17.9001,gal,red,5.0
183.5089,6.723,gal,red,5.0
183.5277,1.6615,gal,red,5.0
183.5402,7.775,gal,red,5.0
183.5502,12.7831,gal,red,5.0
183.5566,8.9081,gal,red,5.0
183.5601,13.5428,gal,red,5.0
183.5829,13.4517,gal,red,5.0
183.5925,14.9786,gal,red,5.0
183.5981,6.7645,gal,red,5.0
183.6171,5.9085,gal,red,5.0
183.6375,12.1032,gal,red,5.0
183.6447,11.8593,gal,red,5.0
183.6487,9.1997,gal,red,5.0
183.6571,12.8134,gal,red,5.0
183.661,5.8066,gal,red,5.0
183.6794,10.5331,gal,red,5.0
183.6843,12.1807,gal,red,5.0
183.6856,12.7896,gal,red,5.0
183.687,6.1545,gal,red,5.0
183.7076,17.7191,gal,red,5.0
183.7229,9.67,gal,red,5.0
183.73,13.4604,gal,red,5.0
183.7362,20.8974,gal,red,5.0
183.7419,7.8843,gal,red,5.0
183.7442,11.8642,gal,red,5.0
183.7666,9.7537,gal,red,5.0
183.7684,14.029,gal,red,5.0
183.7784,12.0166,gal,red,5.0
183.7856,14.972,gal,red,5.0
183.8024,14.4329,gal,red,5.0
183.8122,20.6589,gal,red,5.0
183.8186,13.4735,gal,red,5.0
183.8201,13.0242,gal,red,5.0
183.8214,6.3932,gal,red,5.0
183.8264,5.761,gal,red,5.0
183.8296,2.9277,gal,red,5.0
183.8638,10.5124,gal,red,5.0
183.8765,9.5851,gal,red,5.0
183.9122,8.2845,gal,red,5.0
183.9137,13.9022,gal,red,5.0
183.9172,15.0059,gal,red,5.0
183.9742,14.0252,gal,red,5.0
183.9758,13.1486,gal,red,5.0
183.9848,14.4331,gal,red,5.0
184.0017,8.2023,gal,red,5.0
184.002,4.6504,gal,red,5.0
184.0378,12.6913,gal,red,5.0
184.0418,15.1236,gal,red,5.0
184.0481,11.3604,gal,red,5.0
184.0531,7.456,gal,red,5.0
184.0543,7.9292,gal,red,5.0
184.0611,13.586,gal,red,5.0
184.064,14.2427,gal,red,5.0
184.0859,14.7742,gal,red,5.0
184.1036,7.4878,gal,red,5.0
184.1127,6.0525,gal,red,5.0
184.1404,13.0316,gal,red,5.0
184.1408,7.4619,gal,red,5.0
184.1419,10.2063,gal,red,5.0
184.1465,7.0416,gal,red,5.0
184.1611,-1.4516,gal,red,5.0
184.1802,24.7185,gal,red,5.0
184.1992,8.0492,gal,red,5.0
184.2082,13.504,gal,red,5.0
184.2089,7.8624,gal,red,5.0
184.2109,18.3392,gal,red,5.0
184.2187,14.5146,gal,red,5.0
184.2335,13.6255,gal,red,5.0
184.2428,12.2635,gal,red,5.0
184.2546,9.4076,gal,red,5.0
184.2676,10.0054,gal,red,5.0
184.2725,12.2895,gal,red,5.0
184.2798,7.7338,gal,red,5.0
184.282,7.6243,gal,red,5.0
184.2875,3.6822,gal,red,5.0
