ra,dec,name,color,radius
182.8646,2.9253,,red,5.0
182.8945,24.0289,,red,5.0
182.909,16.4784,,red,5.0
182.918,12.9735,,red,5.0
182.9248,13.1965,,red,5.0
182.9405,13.0243,,red,5.0
182.9414,13.2855,,red,5.0
182.9452,12.4938,,red,5.0
182.9577,17.6768,,red,5.0
182.969,24.1233,,red,5.0
182.9744,13.8083,,red,5.0
182.9905,20.0279,,red,5.0
182.9979,5.9172,,red,5.0
183.0047,10.3982,,red,5.0
183.0455,2.8822,,red,5.0
183.0457,12.8935,,red,5.0
183.0493,13.2467,,red,5.0
183.0613,0.0724,,red,5.0
183.063,12.4881,,red,5.0
183.0717,13.2053,,red,5.0
183.0791,15.4831,,red,5.0
183.093,22.5914,,red,5.0
183.0943,6.9798,,red,5.0
183.1348,12.124,,red,5.0
183.1506,6.502,,red,5.0
183.1697,6.8411,,red,5.0
183.1778,12.7629,,red,5.0
183.1924,10.8655,,red,5.0
183.2018,13.976,,red,5.0
183.2047,13.3472,,red,5.0
183.2401,19.3618,,red,5.0
183.2495,7.2988,,red,5.0
183.2627,7.0389,,red,5.0
183.269,15.8929,,red,5.0
183.2898,13.5847,,red,5.0
183.2945,7.2194,,red,5.0
183.307,13.5228,,red,5.0
183.3236,13.1577,,red,5.0
183.3599,14.772,,red,5.0
183.3829,10.3107,,red,5.0
183.4197,15.4541,,red,5.0
183.4226,9.0111,,red,5.0
183.4478,13.4263,,red,5.0
183.451,12.6906,,red,5.0
183.4524,14.8992,,red,5.0
183.454,24.2652,,red,5.0
183.4599,7.2009,,red,5.0
183.4716,7.4544,,red,5.0
183.4734,13.1727,,red,5.0
183.5057,17.9001,,red,5.0
183.5089,6.723,,red,5.0
183.5277,1.6615,,red,5.0
183.5402,7.775,,red,5.0
183.5502,12.7831,,red,5.0
183.5566,8.9081,,red,5.0
183.5601,13.5428,,red,5.0
183.5829,13.4517,,red,5.0
183.5925,14.9786,,red,5.0
183.5981,6.7645,,red,5.0
183.6171,5.9085,,red,5.0
183.6375,12.1032,,red,5.0
183.6447,11.8593,,red,5.0
183.6487,9.1997,,red,5.0
183.6571,12.8134,,red,5.0
183.661,5.8066,,red,5.0
183.6794,10.5331,,red,5.0
183.6843,12.1807,,red,5.0
183.6856,12.7896,,red,5.0
183.687,6.1545,,red,5.0
183.7076,17.7191,,red,5.0
183.7229,9.67,,red,5.0
183.73,13.4604,,red,5.0
183.7362,20.8974,,red,5.0
183.7419,7.8843,,red,5.0
183.7442,11.8642,,red,5.0
183.7666,9.7537,,red,5.0
183.7684,14.029,,red,5.0
183.7784,12.0166,,red,5.0
183.7856,14.972,,red,5.0
183.8024,14.4329,,red,5.0
183.8122,20.6589,,red,5.0
183.8186,13.4735,,red,5.0
183.8201,13.0242,,red,5.0
183.8214,6.3932,,red,5.0
183.8264,5.761,,red,5.0
183.8296,2.9277,,red,5.0
183.8638,10.5124,,red,5.0
183.8765,9.5851,,red,5.0
183.9122,8.2845,,red,5.0
183.9137,13.9022,,red,5.0
183.9172,15.0059,,red,5.0
183.9742,14.0252,,red,5.0
183.9758,13.1486,,red,5.0
183.9848,14.4331,,red,5.0
184.0017,8.2023,,red,5.0
184.002,4.6504,,red,5.0
184.0378,12.6913,,red,5.0
184.0418,15.1236,,red,5.0
184.0481,11.3604,,red,5.0
184.0531,7.456,,red,5.0
184.0543,7.9292,,red,5.0
184.0611,13.586,,red,5.0
184.064,14.2427,,red,5.0
184.0859,14.7742,,red,5.0
184.1036,7.4878,,red,5.0
184.1127,6.0525,,red,5.0
184.1404,13.0316,,red,5.0
184.1408,7.4619,,red,5.0
184.1419,10.2063,,red,5.0
184.1465,7.0416,,red,5.0
184.1611,-1.4516,,red,5.0
184.1802,24.7185,,red,5.0
184.1992,8.0492,,red,5.0
184.2082,13.504,,red,5.0
184.2089,7.8624,,red,5.0
184.2109,18.3392,,red,5.0
184.2187,14.5146,,red,5.0
184.2335,13.6255,,red,5.0
184.2428,12.2635,,red,5.0
184.2546,9.4076,,red,5.0
184.2676,10.0054,,red,5.0
184.2725,12.2895,,red,5.0
184.2798,7.7338,,red,5.0
184.282,7.6243,,red,5.0
184.2875,3.6822,,red,5.0
184.2887,12.4537,,red,5.0
184.2912,7.1915,,red,5.0
184.2946,6.4318,,red,5.0
184.2981,15.3236,,red,5.0
