updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2020-11-19T11:02:30.920892+0000,2d445afec2fc43f1613951ce9bda5197,238656960,/data_local/images/DTS/2019B-0910/DECam_00925489.fits.fz,/net/archive/pipe/20200120/ct4m/2019B-0910/c4d_200121_034458_osw_r_v1.fits.fz,1.38,"{'gte': 54.27445833333332, 'lte': 54.27445833333332}","{'gte': -29.088666666666665, 'lte': -29.088666666666665}",54.27445833333332,-29.088666666666665,r DECam SDSS c0002 6415.0 1480.0,None,,140.0,0,2020-01-21,2020-01-21T03:44:58.539314+0000,[4674],Shen,2019B-0910,2021-07-13,decam,ct4m,ct,,object,SN-C2,stacked,wtmap,,2020-01-20,[None]
2020-11-19T11:02:37.570743+0000,2d4e83cff4421be51fd6484f469d83a0,1313280,/data_local/images/DTS/2019B-0910/DECam_00898474.fits.fz,/net/archive/pipe/20190926/ct4m/2019B-0910/c4d_190927_063747_osd_i_v1.fits.fz,1.05,"{'gte': 54.27279166666666, 'lte': 54.27279166666666}","{'gte': -27.111972222222224, 'lte': -27.111972222222224}",54.27279166666666,-27.111972222222224,i DECam SDSS c0003 7835.0 1470.0,None,,180.0,0,2019-09-27,2019-09-27T06:37:47.426748+0000,[4674],Shen,2019B-0910,2021-03-19,decam,ct4m,ct,,object,SN-C1,stacked,dqmask,,2019-09-26,[None]
2020-11-18T18:29:54.327593+0000,3cfec38303be6cf494440bfa7ebb29c8,2007360,/data_local/images/DTS/2019B-0910/DECam_00900787.fits.fz,/net/archive/pipe/20191004/ct4m/2019B-0910/c4d_191005_053200_osd_g_v1.fits.fz,1.09,"{'gte': 52.653, 'lte': 52.653}","{'gte': -28.101944444444445, 'lte': -28.101944444444445}",52.653,-28.101944444444445,g DECam SDSS c0001 4720.0 1520.0,None,,40.0,0,2019-10-05,2019-10-05T05:32:00.690685+0000,[4674],Shen,2019B-0910,2021-03-27,decam,ct4m,ct,,object,SN-C3,stacked,dqmask,,2019-10-04,[None]
2020-11-19T10:46:23.815612+0000,286709558f464918ae8f083d0a31c858,4608000,/data_local/images/DTS/2019B-0910/DECam_00912535.fits.fz,/net/archive/pipe/20191130/ct4m/2019B-0910/c4d_191201_014153_ose_r_v1.fits.fz,1.12,"{'gte': 54.27375, 'lte': 54.27375}","{'gte': -29.08797222222222, 'lte': -29.08797222222222}",54.27375,-29.08797222222222,r DECam SDSS c0002 6415.0 1480.0,None,,140.0,0,2019-12-01,2019-12-01T01:41:53.061388+0000,[4674],Shen,2019B-0910,2021-05-23,decam,ct4m,ct,,object,SN-C2,stacked,expmap,,2019-11-30,[None]
2020-11-18T18:52:39.509346+0000,3bb9f96d3b9e9a16a5cf654829655f8f,238285440,/data_local/images/DTS/2019B-0910/DECam_00906041.fits.fz,/net/archive/pipe/20191104/ct4m/2019B-0910/c4d_191105_022344_osw_g_v1.fits.fz,1.3,"{'gte': 54.273624999999996, 'lte': 54.273624999999996}","{'gte': -27.111555555555558, 'lte': -27.111555555555558}",54.273624999999996,-27.111555555555558,g DECam SDSS c0001 4720.0 1520.0,None,,160.0,0,2019-11-05,2019-11-05T02:23:44.839894+0000,[4674],Shen,2019B-0910,2021-04-27,decam,ct4m,ct,,object,SN-C1,stacked,wtmap,,2019-11-04,[None]
2020-11-18T20:54:51.649697+0000,16bda1e1bd489cf35d3967ed987eb41f,238642560,/data_local/images/DTS/2019B-0910/DECam_00906065.fits.fz,/net/archive/pipe/20191104/ct4m/2019B-0910/c4d_191105_031211_osw_g_v1.fits.fz,1.13,"{'gte': 52.650499999999994, 'lte': 52.650499999999994}","{'gte': -28.100083333333334, 'lte': -28.100083333333334}",52.650499999999994,-28.100083333333334,g DECam SDSS c0001 4720.0 1520.0,None,,160.0,0,2019-11-05,2019-11-05T03:12:11.785665+0000,[4674],Shen,2019B-0910,2021-04-27,decam,ct4m,ct,,object,SN-C3,stacked,wtmap,,2019-11-04,[None]
2020-11-19T10:41:16.682507+0000,27d5ab872c465cf984cf38d9e43092d7,334514880,/data_local/images/DTS/2019B-0910/DECam_00923743.fits.fz,/net/archive/pipe/20191230/ct4m/2019B-0910/c4d_191231_032330_osj_r_v1.fits.fz,1.08,"{'gte': 54.27358333333333, 'lte': 54.27358333333333}","{'gte': -27.112083333333334, 'lte': -27.112083333333334}",54.27358333333333,-27.112083333333334,r DECam SDSS c0002 6415.0 1480.0,None,,140.0,0,2019-12-31,2019-12-31T03:23:30.749873+0000,[4674],Shen,2019B-0910,2021-06-22,decam,ct4m,ct,,object,SN-C1,stacked,image1,,2019-12-30,[None]
2020-11-19T05:49:05.996822+0000,4b120ac15ceb94ddba12a54235a9cea2,1157760,/data_local/images/DTS/2019B-0910/DECam_00915322.fits.fz,/net/archive/pipe/20191207/ct4m/2019B-0910/c4d_191208_014712_osd_i_v1.fits.fz,1.06,"{'gte': 54.273624999999996, 'lte': 54.273624999999996}","{'gte': -29.089027777777776, 'lte': -29.089027777777776}",54.273624999999996,-29.089027777777776,i DECam SDSS c0003 7835.0 1470.0,None,,180.0,0,2019-12-08,2019-12-08T01:47:12.029580+0000,[4674],Shen,2019B-0910,2021-05-30,decam,ct4m,ct,,object,SN-C2,stacked,dqmask,,2019-12-07,[None]
2020-11-19T10:26:51.939914+0000,2438d40e14aa47902c1ce64390a63220,4956480,/data_local/images/DTS/2019B-0910/DECam_00906045.fits.fz,/net/archive/pipe/20191104/ct4m/2019B-0910/c4d_191105_023040_ose_i_v1.fits.fz,1.27,"{'gte': 54.27475, 'lte': 54.27475}","{'gte': -27.110000000000003, 'lte': -27.110000000000003}",54.27475,-27.110000000000003,i DECam SDSS c0003 7835.0 1470.0,None,,180.0,0,2019-11-05,2019-11-05T02:30:40.432773+0000,[4674],Shen,2019B-0910,2021-04-27,decam,ct4m,ct,,object,SN-C1,stacked,expmap,,2019-11-04,[None]
2020-11-18T22:24:49.026909+0000,438cadbfa73fcd434f2cf1178865ffdf,249330240,/data_local/images/DTS/2019B-0910/DECam_00892206.fits.fz,/net/archive/pipe/20190830/ct4m/2019B-0910/c4d_190831_072012_osw_g_v1.fits.fz,1.16,"{'gte': 52.646583333333325, 'lte': 52.646583333333325}","{'gte': -28.10238888888889, 'lte': -28.10238888888889}",52.646583333333325,-28.10238888888889,g DECam SDSS c0001 4720.0 1520.0,None,,20.0,0,2019-08-31,2019-08-31T07:20:12.224231+0000,[4674],Shen,2019B-0910,2021-02-20,decam,ct4m,ct,,object,SN-C3,stacked,wtmap,,2019-08-30,[None]
