updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2021-06-02T08:20:17.156061+0000,ae38370faae3d0ba25f0836a5db3e97d,1025280,/data_local/images/DTS/2013B-0613/DECam_00257829.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_011501_osd_g_NGFS.fits.fz,1.23,"{'gte': 52.11841666666667, 'lte': 52.11841666666667}","{'gte': -33.066944444444445, 'lte': -33.066944444444445}",52.11841666666667,-33.066944444444445,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:09:09.146692+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,dqmask,,2013-11-24,[None]
2021-06-13T12:37:36.068702+0000,88057b94525012e79b39b86b0b85922c,389168640,/data_local/images/DTS/2013B-0613/DECam_00258041.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_053058_osj_i_NGFS.fits.fz,1.07,"{'gte': 52.11579166666667, 'lte': 52.11579166666667}","{'gte': -33.06827777777778, 'lte': -33.06827777777778}",52.11579166666667,-33.06827777777778,i DECam SDSS c0003 7835.0 1470.0,None,,3600.0,0,2013-11-27,2013-11-27T05:25:05.085103+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 10-2,stacked,image1,,2013-11-26,[None]
2021-06-02T09:01:57.922676+0000,469e3fbcb39c54e8861170373298acb1,388163520,/data_local/images/DTS/2013B-0613/DECam_00257835.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_013936_osj_g_NGFS.fits.fz,1.19,"{'gte': 54.95904166666666, 'lte': 54.95904166666666}","{'gte': -37.34763888888889, 'lte': -37.34763888888889}",54.95904166666666,-37.34763888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:33:45.400704+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 5-1,stacked,image1,,2013-11-24,[None]
2020-11-18T19:14:37.988378+0000,468a7d13d21f1cdda5aed86a0efbb970,982080,/data_local/images/DTS/2013B-0613/DECam_00257827.fits.fz,/net/archive/pipeline/Q20141224/DEC13B/20131123/c4d_131125_010807_osd_g_v1.fits.fz,1.31,"{'gte': 56.23091666666666, 'lte': 56.23091666666666}","{'gte': -34.38388888888889, 'lte': -34.38388888888889}",56.23091666666666,-34.38388888888889,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:02:15.285391+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 7-1,stacked,dqmask,,2013-11-24,[None]
2021-06-02T15:33:59.151514+0000,4724af21fbea4d87eab09995249ca870,797760,/data_local/images/DTS/2013B-0613/DECam_00257825.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_005706_osd_g_NGFS.fits.fz,1.33,"{'gte': 56.625541666666656, 'lte': 56.625541666666656}","{'gte': -36.19597222222222, 'lte': -36.19597222222222}",56.625541666666656,-36.19597222222222,g DECam SDSS c0001 4720.0 1520.0,None,,355.0,0,2013-11-25,2013-11-25T00:55:44.698861+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 6-1 hexa,stacked,dqmask,,2013-11-24,[None]
2020-11-18T18:34:45.657532+0000,459e24422f39c7897e8b7bb0ef6cb573,388733760,/data_local/images/DTS/2013B-0613/DECam_00257805.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131124_060846_osj_i_v1.fits.fz,1.12,"{'gte': 52.11574999999999, 'lte': 52.11574999999999}","{'gte': -33.06830555555556, 'lte': -33.06830555555556}",52.11574999999999,-33.06830555555556,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-24,2013-11-24T06:02:53.571469+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,image1,,2013-11-23,[None]
2020-11-18T18:34:40.993846+0000,90777a199b7d8830fc845aa42a0e2a99,23662080,/data_local/images/DTS/2013B-0613/DECam_00257803.fits.fz,/net/archive/pipeline/Q20141225/DEC13B/20131123/c4d_131124_060203_ose_i_v1.fits.fz,1.08,"{'gte': 56.22879166666666, 'lte': 56.22879166666666}","{'gte': -34.385777777777776, 'lte': -34.385777777777776}",56.22879166666666,-34.385777777777776,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-24,2013-11-24T05:56:10.845313+0000,[7313],Munoz,2013B-0613,2015-05-17,decam,ct4m,ct,,object,NGFS Fornax 7-1,stacked,expmap,,2013-11-23,[None]
2021-06-02T11:18:06.211840+0000,4965881312e81ac1be4da391e4afea54,283579200,/data_local/images/DTS/2013B-0613/DECam_00257829.fits.fz,/net/archive/pipe/20131124/ct4m/2013B-0613/c4d_131125_011501_osw_g_NGFS.fits.fz,1.23,"{'gte': 52.11841666666667, 'lte': 52.11841666666667}","{'gte': -33.066944444444445, 'lte': -33.066944444444445}",52.11841666666667,-33.066944444444445,g DECam SDSS c0001 4720.0 1520.0,None,,3000.0,0,2013-11-25,2013-11-25T01:09:09.146692+0000,[7313],Munoz,2013B-0613,2015-05-18,decam,ct4m,ct,,object,NGFS Fornax 10-1,stacked,wtmap,,2013-11-24,[None]
2020-11-18T19:14:47.405798+0000,b11ab589eb316bd94eaf4391e2ba14c1,389064960,/data_local/images/DTS/2013B-0613/DECam_00258031.fits.fz,/net/archive/pipeline/Q20141226/DEC13B/20131123/c4d_131127_045815_osj_i_v1.fits.fz,1.03,"{'gte': 52.476499999999994, 'lte': 52.476499999999994}","{'gte': -34.88088888888889, 'lte': -34.88088888888889}",52.476499999999994,-34.88088888888889,i DECam SDSS c0003 7835.0 1470.0,None,,2400.0,0,2013-11-27,2013-11-27T04:52:23.982119+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 3-2,stacked,image1,,2013-11-26,[None]
2021-06-13T12:37:10.988215+0000,8f875fa44bfefab92832feb379994677,37768320,/data_local/images/DTS/2013B-0613/DECam_00258038.fits.fz,/net/archive/pipe/20131126/ct4m/2013B-0613/c4d_131127_051859_ose_i_NGFS.fits.fz,1.04,"{'gte': 56.62479166666666, 'lte': 56.62479166666666}","{'gte': -36.196999999999996, 'lte': -36.196999999999996}",56.62479166666666,-36.196999999999996,i DECam SDSS c0003 7835.0 1470.0,None,,3900.0,0,2013-11-27,2013-11-27T05:13:00.861389+0000,[7313],Munoz,2013B-0613,2015-05-20,decam,ct4m,ct,,object,NGFS Fornax 6-2,stacked,expmap,,2013-11-26,[None]
