updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2020-11-19T13:17:15.136684+0000,27fdd8084f97e72573861911d391c20e,766080,/data_local/images/DTS/2015B-0602/DECam_00492135.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151112_013601_osd_g_v1.fits.fz,1.4,"{'gte': 56.25304166666666, 'lte': 56.25304166666666}","{'gte': -34.376444444444445, 'lte': -34.376444444444445}",56.25304166666666,-34.376444444444445,g DECam SDSS c0001 4720.0 1520.0,None,,75.0,0,2015-11-12,2015-11-12T01:35:02.634071+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t7_d1_short,stacked,dqmask,,2015-11-11,[None]
2020-11-19T13:17:31.652120+0000,278b4fac02857dd0315a92f510706bfd,375203520,/data_local/images/DTS/2015B-0602/DECam_00492066.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151112_004950_osj_i_v1.fits.fz,1.74,"{'gte': 58.31554166666666, 'lte': 58.31554166666666}","{'gte': -35.18847222222222, 'lte': -35.18847222222222}",58.31554166666666,-35.18847222222222,i DECam SDSS c0003 7835.0 1470.0,None,,40.0,0,2015-11-12,2015-11-12T00:48:51.719167+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t18_d3_short,stacked,image1,,2015-11-11,[None]
2020-11-19T04:39:35.348359+0000,2ba30d22749c33a4d46d00232a97059e,373533120,/data_local/images/DTS/2015B-0602/DECam_00492146.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151112_014400_osj_g_v1.fits.fz,1.39,"{'gte': 58.31233333333333, 'lte': 58.31233333333333}","{'gte': -35.183388888888885, 'lte': -35.183388888888885}",58.31233333333333,-35.183388888888885,g DECam SDSS c0001 4720.0 1520.0,None,,60.0,0,2015-11-12,2015-11-12T01:43:03.261737+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t18_d1_short,stacked,image1,,2015-11-11,[None]
2020-11-19T04:39:36.383435+0000,320ee5b87142de7d6abc8b887addc29c,333195840,/data_local/images/DTS/2015B-0602/DECam_00492063.fits.fz,/net/archive/pipeline/Q20151119/DEC15B/20151109/c4d_151112_004753_osw_i_v1.fits.fz,1.63,"{'gte': 55.337875, 'lte': 55.337875}","{'gte': -39.14013888888889, 'lte': -39.14013888888889}",55.337875,-39.14013888888889,i DECam SDSS c0003 7835.0 1470.0,None,,40.0,0,2015-11-12,2015-11-12T00:46:58.857220+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t15_d3_short,stacked,wtmap,,2015-11-11,[None]
2021-06-03T08:17:10.982386+0000,26d4272d067de624acdf2d1440bf4b49,6949440,/data_local/images/DTS/2015B-0602/DECam_00492163.fits.fz,/net/archive/pipe/20151111/ct4m/2015B-0602/c4d_151112_015639_ose_g_NGFS.fits.fz,1.28,"{'gte': 55.33195833333333, 'lte': 55.33195833333333}","{'gte': -39.13616666666667, 'lte': -39.13616666666667}",55.33195833333333,-39.13616666666667,g DECam SDSS c0001 4720.0 1520.0,None,,55.0,0,2015-11-12,2015-11-12T01:55:40.207058+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t15_d2_short,stacked,expmap,,2015-11-11,[None]
2021-06-27T21:27:00.078513+0000,2bc748417eaa8312e03204426a1c8afb,380341440,/data_local/images/DTS/2015B-0602/DECam_00492035.fits.fz,/net/archive/pipe/20151111/ct4m/2015B-0602/c4d_151112_002939_osi_i_NGFS.fits.fz,1.86,"{'gte': 56.25062499999999, 'lte': 56.25062499999999}","{'gte': -34.374833333333335, 'lte': -34.374833333333335}",56.25062499999999,-34.374833333333335,i DECam SDSS c0003 7835.0 1470.0,None,,60.0,0,2015-11-12,2015-11-12T00:28:42.210243+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t7_d2_short,stacked,image,,2015-11-11,[None]
2020-11-19T13:17:01.376272+0000,2b81379ccfb58864c881086755e6bf21,376156800,/data_local/images/DTS/2015B-0602/DECam_00491814.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151111_013644_osj_g_v1.fits.fz,1.38,"{'gte': 54.55741666666666, 'lte': 54.55741666666666}","{'gte': -35.525444444444446, 'lte': -35.525444444444446}",54.55741666666666,-35.525444444444446,g DECam SDSS c0001 4720.0 1520.0,None,,360.0,0,2015-11-11,2015-11-11T01:35:24.815051+0000,[7313],Munoz,2015B-0602,2017-05-03,decam,ct4m,ct,,object,NGC1399_t1_d11_short,stacked,image1,,2015-11-10,[None]
2020-11-19T13:17:20.605268+0000,2bcf851c8301a6be4a2261b9b1e5ee00,794880,/data_local/images/DTS/2015B-0602/DECam_00492141.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151112_014022_osd_g_v1.fits.fz,1.28,"{'gte': 51.12974999999999, 'lte': 51.12974999999999}","{'gte': -37.821000000000005, 'lte': -37.821000000000005}",51.12974999999999,-37.821000000000005,g DECam SDSS c0001 4720.0 1520.0,None,,75.0,0,2015-11-12,2015-11-12T01:39:23.431234+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t13_d1_short,stacked,dqmask,,2015-11-11,[None]
2021-06-03T08:18:02.017108+0000,304bfe9e0d060231c5870e47d5d50e5a,377326080,/data_local/images/DTS/2015B-0602/DECam_00492163.fits.fz,/net/archive/pipe/20151111/ct4m/2015B-0602/c4d_151112_015639_osj_g_NGFS.fits.fz,1.28,"{'gte': 55.33195833333333, 'lte': 55.33195833333333}","{'gte': -39.13616666666667, 'lte': -39.13616666666667}",55.33195833333333,-39.13616666666667,g DECam SDSS c0001 4720.0 1520.0,None,,55.0,0,2015-11-12,2015-11-12T01:55:40.207058+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t15_d2_short,stacked,image1,,2015-11-11,[None]
2020-11-19T00:56:29.114227+0000,1f4a2a7fdd76438d1f5b58950d3bfa51,4524480,/data_local/images/DTS/2015B-0602/DECam_00492147.fits.fz,/net/archive/pipeline/Q20151115/DEC15B/20151109/c4d_151112_014443_ose_g_v1.fits.fz,1.39,"{'gte': 57.92674999999999, 'lte': 57.92674999999999}","{'gte': -33.374972222222226, 'lte': -33.374972222222226}",57.92674999999999,-33.374972222222226,g DECam SDSS c0001 4720.0 1520.0,None,,60.0,0,2015-11-12,2015-11-12T01:43:45.194746+0000,[7313],Munoz,2015B-0602,2017-05-04,decam,ct4m,ct,,object,NGC1399_t19_d1_short,stacked,expmap,,2015-11-11,[None]
