No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 1407,03h40m11.8414s,-18d34m48.157s,55.0493392,-18.5800438,0.005934,1778.968445772,SUN,G,"IR,Radio,Vis,X-ray",5.12264187750956e-05,542,12,113,49,48,18,28,34,17,0
210,NGC 1407 GROUP:[TTM2006] 164,03h39m58.1000s,-18d37m36.000s,54.99208333333,-18.62666666667,0.00283529480918429,849.999999999999,SLS,G,,4.29253701882299,4,0,2,3,1,0,0,0,0,0
305,LSBG F548-006,03h40m33.7946s,-18d39m03.970s,55.140811,-18.6511028,0.00283199991,849.012214074679,UUN,G,"IR,UV",6.72531980735293,17,0,23,6,2,0,0,1,0,0
335,IC 0343,03h40m07.1317s,-18d26m36.499s,55.0297158,-18.443472,0.006141,1841.025484578,SUN,G,"IR,UV,Vis,X-ray",8.27001922205352,76,4,53,23,13,19,1,8,7,0
337,WISEA J034043.25-183843.3,03h40m43.2565s,-18d38m43.389s,55.1802356,-18.645386,0.00465000002,1394.03493569585,UUN,G,"IR,UV",8.41243083037593,41,1,39,16,9,2,0,2,2,2
421,PGC1 0013505 NED026,03h40m52.5970s,-18d28m37.518s,55.21915449257,-18.47708842211,0.00560100004,1679.1375692497,UUN,G,,11.4669052192367,20,0,4,6,4,0,0,2,1,0
422,WISEA J034052.79-182840.0,03h40m52.7971s,-18d28m40.019s,55.2199881,-18.4777832,0.00557052038980914,1670.0,SLS,G,IR,11.4845460428137,15,0,29,9,5,2,0,0,1,1
427,NGC 1400,03h39m30.8368s,-18d41m17.450s,54.8784869,-18.6881807,0.0019680281616691,590.000000000001,UUN,G,"IR,Radio,X-ray",11.6813500422079,314,10,100,39,30,21,28,34,21,1
477,WISEA J034013.45-181908.2,03h40m13.4564s,-18d19m08.244s,55.0560684,-18.3189568,0.00638400018,1913.87510583464,UUN,G,"IR,UV",15.6699012942284,17,0,37,9,3,2,0,1,1,0
478,GALEXASC J033923.21-184530.6,03h39m23.1200s,-18d45m30.300s,54.84633333333,-18.75841666667,0.0057573162831201,1726.0,SUN,G,UV,15.7384725290206,18,0,12,7,3,0,0,1,0,0
479,WISEA J033904.51-183155.3,03h39m04.5119s,-18d31m55.373s,54.7687996,-18.5320482,0.00659799995,1978.03062289438,UUN,G,IR,16.2150699429434,13,0,16,5,2,0,0,1,0,0
480,WISEA J034123.71-183808.0,03h41m23.7165s,-18d38m08.030s,55.348819,-18.6355639,0.00637800014,1912.07633909494,UUN,G,"IR,UV",17.3522230624067,14,0,28,7,2,0,0,1,1,0
481,LSBG F549-038,03h40m49.6881s,-18d50m50.029s,55.2070341,-18.8472304,0.00449977964422307,1349.0,SUN,G,"IR,UV",18.3659297270206,16,0,24,7,3,0,0,1,0,0
482,IC 0345,03h41m09.1317s,-18d18m50.906s,55.2880491,-18.3141406,0.004453,1334.975815474,SUN,G,"IR,UV",20.9554935307668,49,2,45,19,9,15,0,3,4,1
483,ESO 548- G 068,03h40m19.1701s,-18d55m53.131s,55.0798755,-18.9314253,0.00564699993,1692.92798934053,SUN,G,"IR,UV,Vis",21.1541500913443,67,2,50,22,16,18,2,7,7,0
484,LSBG F548-007,03h40m10.2000s,-18d56m40.000s,55.0425,-18.94444444444,0.00664799986,1993.02021881306,UUN,G,,21.8674908136195,8,0,1,4,2,0,0,1,0,0
485,APMUKS(BJ) B033827.69-190614.5,03h40m42.5890s,-18d56m38.037s,55.17745448907,-18.94389936388,0.00473000016,1418.01837430679,UUN,G,,23.0126668213059,7,0,2,3,2,0,0,1,0,0
486,NGC 1393,03h38m38.5849s,-18d25m40.742s,54.6607706,-18.427984,0.00717499992,2151.0108621666,UUN,G,"IR,UV",23.917331352342,84,5,60,22,13,19,1,11,7,0
487,2MASS J03412975-1815492,03h41m29.7528s,-18d15m49.258s,55.37397,-18.263683,0.006238,1870.105353004,UUN,G,IR,26.4915381058033,14,0,8,5,2,0,0,2,0,0
488,2MASX J03412992-1815473,03h41m29.9347s,-18d15m47.563s,55.374728,-18.263212,0.008855,2654.66221559,PUN,G,IR,26.5419065142233,6,0,13,4,1,2,0,0,1,0
489,WISEA J034159.88-184246.9,03h41m59.8842s,-18d42m46.965s,55.4995175,-18.7130459,0.00615799986,1846.12191439306,UUN,G,"IR,UV",26.8081542236891,19,0,35,10,3,2,0,2,1,0
490,LSBG F548-012,03h38m42.0960s,-18d53m58.164s,54.6754,-18.89949,0.00492340604512472,1476.0,SUN,G,"IR,UV",28.6146134039809,14,0,20,6,3,0,0,1,0,0
491,IC 0346,03h41m44.6708s,-18d16m01.026s,55.4361287,-18.2669519,0.00695500011,2085.05657836717,UUN,G,"IR,UV",28.9427388303317,69,5,48,21,12,19,0,12,5,0
492,WISEA J034015.97-190454.2,03h40m15.9756s,-19d04m54.240s,55.0665653,-19.0817335,0.00558400014,1674.04112744294,UUN,G,"IR,UV",30.1172733313256,33,0,39,14,8,2,0,2,2,1
493,ESO 548- G 079,03h41m56.0872s,-18d53m42.702s,55.4836969,-18.8951952,0.006677953185867,2002.0,SUN,G,"IR,UV,Vis",31.0912049472117,57,1,43,18,14,18,0,5,4,1
494,ESO 548- G 073,03h41m04.4100s,-19d05m40.000s,55.268375,-19.09444444444,0.00325600011,976.12427622517,UUN,G,IR,33.2760799845606,32,1,23,13,6,14,0,3,4,1
495,WISEA J034232.40-182301.4,03h42m32.4600s,-18d23m00.100s,55.63525,-18.38336111111,0.001591,476.969800678,UUN,G,IR,35.36833148961,4,0,14,3,2,0,0,0,0,0
496,WISEA J034154.77-180837.9,03h41m54.8100s,-18d08m37.800s,55.478375,-18.14383333333,0.002175,652.04859615,UUN,G,IR,35.8036379513682,3,0,14,3,2,0,0,0,0,0
497,LSBG F548-005,03h42m13.1960s,-18d56m52.421s,55.5549836,-18.9478949,0.00603100006,1808.04833218555,UUN,G,IR,36.2260003285271,9,0,16,3,2,0,0,1,0,0
498,WISEA J034118.64-180206.4,03h41m18.6404s,-18d02m06.463s,55.3276687,-18.0351287,0.00502000004,1504.9581511517,UUN,G,IR,36.3361975324035,16,0,21,7,2,0,0,1,1,0
