No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
499,NGC 1383,03h37m39.2247s,-18d20m21.986s,54.4134365,-18.3394406,0.006468,1939.057618344,SUN,G,"IR,UV",38.9639270782769,78,2,60,23,16,20,2,9,7,1
500,LSBG F548-010,03h39m41.6531s,-17d55m05.470s,54.92355487797,-17.91818625036,0.00537399994,1611.08465130445,UUN,G,,40.3530840832518,9,0,2,3,2,0,0,1,0,0
501,NGC 1390,03h37m52.2012s,-19d00m29.299s,54.4675053,-19.0081387,0.00406281067951349,1218.0,UUN,G,"IR,Radio,UV",41.8564787081846,70,2,61,27,16,18,0,9,6,0
502,LSBG F548-026,03h39m33.9095s,-19d15m58.764s,54.8912899,-19.2663234,0.00457649938611865,1372.0,SUN,G,IR,42.1425490712529,8,0,15,3,2,0,0,0,0,0
503,ESO 548- G 065,03h40m02.6117s,-19d22m01.006s,55.0108822,-19.3669463,0.00405613939760953,1216.0,UUN,G,"IR,Radio,UV",47.2645451276968,39,3,42,18,10,18,0,3,4,1
504,ESO 549- G 002,03h42m57.4184s,-19d01m14.311s,55.73924338733,-19.02064208116,0.003706,1111.030849348,SUN,G,,47.2691030860144,59,3,15,14,11,15,0,12,5,3
506,ESO 548- G 064,03h40m00.0669s,-19d25m35.019s,55.0002789,-19.4263944,0.005651,1694.127180158,SUN,G,"IR,UV",50.8572470939747,42,1,40,16,9,16,0,2,4,1
507,ESO 548- G 072,03h41m00.1611s,-19d27m20.351s,55.2506715,-19.4556533,0.006785,2034.09182753,SUN,G,"IR,UV",53.7635320558539,25,1,25,9,5,12,0,4,3,0
508,WISEA J034402.52-182818.1,03h44m02.5258s,-18d28m18.182s,56.0105243,-18.4717174,0.006601,1978.930015258,SUN,G,"IR,UV",55.0674436698675,13,0,19,7,3,0,0,1,0,0
509,LSBG F549-036,03h41m46.6692s,-17d44m21.286s,55.444455,-17.7392462,0.0060109999,1802.05243505875,UUN,G,"IR,UV",55.2485408128178,16,0,25,7,2,0,0,1,0,0
