No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 1370,03h35m14.5568s,-20d22m25.532s,53.8106536,-20.3737591,0.003546,1063.064056068,SUN,G,"IR,Radio,X-ray",0.0,75,2,62,25,15,18,1,6,4,1
2,NGC 1362,03h33m53.0810s,-20d16m56.981s,53.4711709,-20.2824949,0.00392604940048225,1177.0,UUN,G,"IR,Vis",19.8697807963668,57,3,36,20,16,19,2,6,4,1
4,APMBGC 548-028+045,03h34m24.0869s,-20d45m55.926s,53.60036214635,-20.76553507322,0.00549,1645.86059442,SLS,G,,26.3079095019436,5,0,1,4,1,0,0,1,0,0
5,WISEA J033656.74-203522.8,03h36m56.7405s,-20d35m22.888s,54.2364188,-20.5896913,0.005631,1688.131330998,SLS,G,IR,27.2130030616999,23,0,30,13,6,2,0,1,1,1
9,NGC 1377,03h36m39.0730s,-20d54m07.050s,54.1628041666667,-20.9019583333333,0.00597700011,1791.85955444317,SUN,G,IR,37.3544109324708,205,3,178,46,20,18,1,7,47,12
11,ESO 548- G 049,03h35m28.0892s,-21d13m01.492s,53.86703856984,-21.21708128367,0.00506350296510795,1518.0,UUN,G,Radio,50.6980742395105,31,1,9,11,7,16,0,4,3,0
12,ESO 548- G 043,03h34m10.5538s,-19d33m29.824s,53.5439742,-19.5582846,0.006441,1930.963221978,SUN,G,"IR,UV",51.1875238916706,35,1,44,15,6,14,0,4,4,0
13,NGC 1353,03h32m02.9611s,-20d49m08.057s,53.0123382,-20.8189049,0.005087,1525.044233846,SUN,G,"IR,Radio",52.1893127415529,186,7,60,26,23,20,13,33,11,3
14,WISEA J033449.45-211523.6,03h34m49.4580s,-21d15m23.617s,53.7060752,-21.2565603,0.00542708782887393,1627.0,SUN,G,IR,53.2917989094187,10,0,12,7,1,0,0,0,0,0
15,ESO 548- G 034,03h32m57.6264s,-21d05m21.969s,53.24011,-21.089436,0.00555384218504923,1665.0,UUN,G,IR,53.5621288023497,36,1,23,13,11,19,0,4,4,1
16,IC 1962,03h35m37.4900s,-21d17m38.600s,53.90620833333,-21.29405555556,0.006051,1814.044163358,S1L,G,"IR,Radio",55.4771643673285,78,5,24,20,19,17,11,21,6,5
18,NGC 1359,03h33m47.8118s,-19d29m31.951s,53.4492161,-19.4922088,0.006581,1972.934166098,UUN,G,"IR,Radio",56.6859101255253,137,7,85,27,18,20,14,39,9,5
19,6dF J0333477-192931,03h33m47.7100s,-19d29m31.400s,53.44879166667,-19.49205555556,0.006668,1999.016109944,SLS,G,,56.7031062007536,5,0,0,2,2,0,0,0,0,1
20,ESO 548- G 044,03h34m19.2752s,-19d25m27.424s,53.5803135,-19.4242846,0.005657,1695.925934906,SUN,G,"IR,UV",58.4318195000434,54,1,44,18,13,19,0,4,4,2
