No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 1395,03h38m29.8730s,-23d01m38.900s,54.6244708333333,-23.0274722222222,0.00572700007,1716.91142795147,SUN,G,"IR,X-ray",0.0,323,9,81,37,27,18,27,30,15,1
2,ESO 482- G 017,03h37m43.2597s,-22d54m31.755s,54.4302491,-22.908821,0.0044900002,1346.06819637849,SUN,G,IR,12.8764233677453,48,1,38,15,7,18,0,3,6,1
3,NGC 1401,03h39m21.8446s,-22d43m28.969s,54.8410194,-22.7247136,0.00498700002,1495.06499404185,SUN,G,"IR,UV",21.7552319100915,73,3,61,28,18,18,3,8,4,0
4,ESO 482- G 018,03h38m17.6524s,-23d25m09.168s,54.5735517,-23.4192134,0.005627,1686.932161166,SUN,G,"IR,UV",23.671559588735,45,1,40,14,12,17,0,4,4,1
8,LSBG F482-034,03h38m16.5500s,-22d29m11.400s,54.56895833333,-22.4865,0.00453,1358.05983474,SLS,G,,32.6033308964311,17,0,1,8,5,0,0,0,0,1
9,WISEA J033848.20-222817.1,03h38m48.2046s,-22d28m17.191s,54.7008528,-22.4714422,0.006,1798.754748,UUN,G,IR,33.6284393196477,6,0,13,6,2,0,0,0,0,0
10,ESO 482- G 031,03h40m41.5319s,-22d39m04.102s,55.1730499,-22.6511395,0.00561399991,1683.03483223068,SUN,G,"IR,UV",37.8154492673189,34,2,37,16,9,15,0,2,4,1
11,NGC 1416,03h41m02.9182s,-22d43m08.677s,55.2621593,-22.7190772,0.00722800009,2166.89991340532,SUN,G,"IR,UV",39.8137316805799,61,4,53,21,11,18,0,6,4,0
12,NGC 1415,03h40m56.8487s,-22d33m52.447s,55.2368696,-22.5645688,0.00517691475747532,1552.0,UUN,G,"IR,Radio",43.8044941197286,179,9,88,37,22,19,3,28,12,3
14,LSBG F482-037,03h36m55.7489s,-23d44m26.847s,54.2322874,-23.740791,0.005043,1511.853365694,SLS,G,"IR,UV",47.9399741443726,10,0,17,6,2,0,0,0,0,1
15,ESO 482- G 027,03h39m41.1480s,-23d50m41.070s,54.9214502,-23.8447417,0.00541040962411403,1622.0,UUN,G,"IR,Radio",51.689665675855,20,1,19,9,4,12,0,5,3,0
16,WISEA J034127.10-222822.3,03h41m27.1093s,-22d28m22.359s,55.3629557,-22.4728776,0.00757199991,2270.02846499468,SUN,G,"IR,UV",52.6966500127524,25,0,36,13,5,2,0,1,2,0
17,ESO 548- G 070,03h40m40.9658s,-22d17m14.902s,55.170691,-22.2874728,0.00591742704881522,1774.0,UUN,G,"IR,Radio",53.7217911573058,35,1,21,13,6,16,0,5,4,0
18,ESO 482- G 036,03h42m18.8035s,-22d45m09.212s,55.57834812166,-22.75255914242,0.00523362065365901,1569.0,UUN,G,,55.245495426227,31,2,9,10,6,14,0,7,3,0
