No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 1439,03h44m49.9410s,-21d55m14.340s,56.2080878,-21.92065,0.005561,1667.145858938,SUN,G,"IR,X-ray",0.0,223,6,91,36,22,18,19,25,4,0
2,NGC 1426,03h42m49.0910s,-22d06m30.001s,55.7045461,-22.1083336,0.00481300009,1442.90112733532,SUN,G,"IR,UV",30.1885894200424,229,5,96,34,22,18,27,32,5,0
4,GALEXASC J034326.40-211943.9,03h43m26.4600s,-21d19m44.200s,55.86025,-21.32894444444,0.005701,1709.116803058,SLS,G,UV,40.4576725310695,16,0,5,9,5,0,0,0,0,1
5,WISEA J034509.35-223743.0,03h45m09.3594s,-22d37m43.049s,56.2889978,-22.6286249,0.01,2997.92458,SUN,G,"IR,UV",42.7153739007253,6,0,17,3,1,0,0,0,0,0
6,SMDG J0345097-223826,03h45m09.7000s,-22d38m26.000s,56.2904166666667,-22.6405555555556,0.00518358603937928,1554.0,SUN,G,,43.4355079346022,4,0,0,4,1,0,0,0,0,0
7,GALEXASC J034434.92-211132.0,03h44m34.9236s,-21d11m32.094s,56.145515276327,-21.1922485110609,0.00526364142222684,1578.0,UUN,G,UV,43.8433524225699,8,0,5,6,1,0,0,1,0,0
8,ESO 549- G 006,03h43m38.3229s,-21d14m15.412s,55.9096789849011,-21.2376146469038,0.00537705321459421,1612.0,UUN,G,"Radio,UV",44.2350408818703,30,2,12,11,4,16,0,5,3,1
9,NGC 1422,03h41m30.9640s,-21d40m54.044s,55.379017,-21.681679,0.00553,1657.85229274,S1L,G,IR,48.3607744024556,100,5,45,29,17,18,13,21,6,4
10,ESO 549- G 018,03h48m14.0634s,-21d28m27.579s,57.0585975,-21.4743276,0.00529032654984269,1586.0,UUN,G,"IR,Radio,UV",54.4545071213715,97,3,50,27,15,18,14,16,7,1
11,WISEA J034815.80-212812.6,03h48m15.8096s,-21d28m12.618s,57.0658736,-21.4701718,0.0052939998,1587.10121269351,UUN,G,IR,54.9309234700174,6,0,28,4,1,2,0,0,1,0
12,6dF J0340570-214250,03h40m57.1400s,-21d42m49.900s,55.23808333333,-21.71386111111,0.005841,1751.087747178,SLS,G,,55.4377372569362,6,0,0,2,2,0,0,0,0,1
13,WISEA J034057.12-214248.7,03h40m57.1225s,-21d42m48.749s,55.2380105,-21.7135415,0.00584,1750.78795472,SUN,G,IR,55.4460447021657,9,0,26,6,2,2,0,0,1,0
14,NGC 1414,03h40m57.0693s,-21d42m46.989s,55.23778906703,-21.7130527202,0.00565391141360868,1695.0,UUN,G,Radio,55.4647336675654,70,1,15,14,9,15,8,11,5,0
15,WISEA J034127.10-222822.3,03h41m27.1093s,-22d28m22.359s,55.3629557,-22.4728776,0.00757199991,2270.02846499468,SUN,G,"IR,UV",57.464040299347,25,0,36,13,5,2,0,1,2,0
