No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
51,WISEA J103023.00-351021.6,10h30m23.0047s,-35d10m21.685s,157.5958529,-35.1726905,0.00986349029500936,2957.0,UUN,G,"IR,UV",10.4138854143846,8,0,35,11,5,2,0,1,1,0
52,WISEA J102942.99-352948.3,10h29m42.9970s,-35d29m48.370s,157.4291545,-35.4967697,0.0097834349121618,2933.0,UUN,G,"IR,UV",10.7425454929598,7,0,18,5,2,0,0,1,0,0
53,WISEA J103037.50-352707.2,10h30m37.5000s,-35d27m08.800s,157.65625,-35.45244444444,0.00800553828475565,2400.0,UUN,G,IR,10.8128163961289,4,0,12,5,4,0,0,0,0,0
54,GALEXMSC J102914.82-352553.1,10h29m14.8204s,-35d25m53.185s,157.311751965731,-35.4314404995267,0.00997,2988.93080626,UUN,G,UV,11.0631260523837,10,0,5,8,5,0,0,1,0,0
55,WISEA J103021.41-353105.0,10h30m21.4120s,-35d31m05.054s,157.5892169,-35.5180706,0.00902958005701398,2707.0,UUN,G,"IR,UV",12.3193104768207,4,0,34,8,2,2,0,0,1,0
56,ANTL J103021-353150,10h30m21.0000s,-35d31m50.000s,157.5875,-35.5305555555556,0.00902958005701398,2707.0,UUN,,Radio,12.9916197175933,1,0,0,1,1,0,0,0,0,0
57,WISEA J103036.53-353048.0,10h30m36.5319s,-35d30m48.070s,157.6522163,-35.5133529,0.0113211653910253,3394.00000000001,UUN,,"IR,Radio,UV",13.5036734468412,3,0,19,6,2,0,0,0,0,0
58,2MASX J10285311-3519089,10h28m53.1103s,-35d19m09.170s,157.221293,-35.319214,0.008709,2610.892516722,UUN,G,IR,13.5476312483795,8,0,16,8,5,2,0,1,1,0
59,NGC 3258B,10h30m25.3228s,-35d33m48.393s,157.6055119,-35.5634426,0.00692812625726562,2077.0,UUN,G,"IR,UV",15.1467356003979,21,3,37,13,7,2,0,3,2,1
60,PGC1 0030308 NED071,10h30m19.4000s,-35d34m48.000s,157.58083333333,-35.58,0.010224,3065.078090592,UUN,G,,15.7286583731387,7,0,2,7,5,0,0,1,0,0
61,LEDA 083148,10h30m47.5000s,-35d32m22.000s,157.69791666667,-35.53944444444,0.011734784869071,3518.0,UUN,G,,16.0794572313063,5,0,2,3,2,0,0,1,0,0
62,WISEA J103020.81-353530.7,10h30m20.8174s,-35d35m30.785s,157.5867394,-35.5918848,0.0078887908514363,2365.0,SUN,G,"IR,UV",16.4922456207577,8,0,22,8,4,0,0,1,0,0
63,WISEA J102850.61-350934.3,10h28m50.6119s,-35d09m34.307s,157.2108829,-35.1595299,0.00803555905332348,2409.0,UUN,G,"IR,UV",17.2744831718057,8,0,24,10,5,0,0,1,0,0
64,WISEA J102840.92-351234.6,10h28m40.9221s,-35d12m34.638s,157.1705089,-35.2096218,0.00819900545997058,2458.0,SUN,,"IR,Radio,UV",17.5084845724263,1,0,23,5,1,0,0,0,0,0
65,LEDA 083057,10h29m19.1000s,-35d35m06.000s,157.32958333333,-35.585,0.00748851393719851,2245.0,UUN,G,,17.5447078693077,5,0,2,2,1,0,0,1,0,0
66,WISEA J103110.89-353125.3,10h31m07.0000s,-35d31m08.000s,157.779166666667,-35.5188888888889,0.00883277724084707,2648.0,SUN,G,Radio,17.9471637357963,1,0,0,1,1,0,0,0,0,0
67,NGC 3273,10h30m29.1983s,-35d36m38.143s,157.6216597,-35.6105955,0.00887280493227085,2660.0,UUN,G,"IR,UV",18.0749537068178,62,4,57,20,15,18,3,11,4,1
68,[CBR2014] ACO 35,10h30m30.5109s,-35d36m45.828s,157.627129,-35.61273,0.008928,2676.547065024,UUN,,Vis,18.2862415660614,1,0,0,1,1,0,0,0,0,0
69,NGC 3258C,10h31m24.2172s,-35d13m13.865s,157.850905,-35.2205181,0.008663,2597.102063654,SUN,G,"IR,Radio,UV",18.4291643094027,33,2,45,18,13,18,2,5,4,2
70,PGC1 0030308 NED069,10h29m02.1000s,-35d34m04.000s,157.25875,-35.56777777778,0.008786,2633.976535988,UUN,G,Radio,18.5962647525493,8,0,2,7,5,0,0,1,0,0
71,WISEA J102829.31-351510.1,10h28m29.3143s,-35d15m10.109s,157.1221431,-35.2528081,0.0107607777110924,3226.0,UUN,,IR,18.9282708210257,1,0,18,3,1,0,0,0,0,0
72,WISEA J103022.00-353805.7,10h30m22.0088s,-35d38m05.794s,157.5917036,-35.6349428,0.0113578574414971,3405.00000000001,UUN,,"IR,UV",19.0533658444733,2,0,20,5,1,0,0,0,0,0
73,WISEA J102834.19-352740.0,10h28m34.1944s,-35d27m40.070s,157.1424767,-35.4611306,0.0096566805559865,2895.0,SUN,G,"IR,UV",19.1630241847973,10,0,30,12,6,0,0,1,0,0
74,WISEA J102859.13-353423.5,10h28m59.1309s,-35d34m23.530s,157.2463788,-35.5732028,0.010134,3038.096769372,UUN,G,IR,19.2310734210392,1,0,12,2,2,0,0,0,0,0
75,NGC 3260,10h29m06.3977s,-35d35m42.325s,157.2766573,-35.5950903,0.00805890853998735,2416.0,UUN,G,"IR,UV",19.3952720365394,64,4,49,15,11,19,6,12,4,0
76,[CBR2013] ACO 08,10h28m58.9000s,-35d34m45.000s,157.24541666667,-35.57916666667,0.007515,2252.94032187,UUN,G,,19.5369768424007,1,0,0,1,2,0,0,0,0,0
77,WISEA J102827.03-351424.1,10h28m27.0335s,-35d14m24.137s,157.1126397,-35.2400381,0.0114379128243446,3428.99999999999,UUN,G,"IR,UV",19.5720062314812,7,0,18,5,2,0,0,1,0,0
78,[CBR2013] ACO 05,10h28m57.8000s,-35d34m45.000s,157.24083333333,-35.57916666667,0.008009,2401.037796122,UUN,G,,19.6792261268276,1,0,0,1,2,0,0,0,0,0
79,WISEA J102843.69-350724.9,10h28m43.6975s,-35d07m24.921s,157.1820729,-35.1235892,0.0080689154628433,2419.0,SUN,G,"IR,Radio,UV",19.7009862632569,4,0,25,6,1,0,0,1,0,0
80,ANTL J103021-353850,10h30m21.0000s,-35d38m50.000s,157.5875,-35.6472222222222,0.0113578574414971,3405.00000000001,UUN,,Radio,19.7225987903048,1,0,0,1,1,0,0,0,0,0
81,WISEA J102858.78-353535.8,10h28m58.7822s,-35d35m35.819s,157.2449259,-35.5932833,0.00909,2725.11344322,UUN,G,IR,20.2147396562861,1,0,12,2,2,0,0,0,0,0
82,[CBR2013] ACO 03,10h28m56.6000s,-35d35m39.000s,157.23583333333,-35.59416666667,0.008596,2577.015968968,UUN,G,,20.5308597830719,1,0,0,1,2,0,0,0,0,0
83,PGC1 0030308 NED058,10h28m53.0000s,-35d35m34.000s,157.22083333333,-35.59277777778,0.00971,2910.98476718,UUN,G,,20.9323923762994,8,0,2,6,4,0,0,1,0,0
84,PGC1 0030308 NED076,10h28m45.1000s,-35d34m40.000s,157.18791666667,-35.57777777778,0.00685140651537004,2054.0,UUN,G,,21.3642880095558,8,0,2,7,5,0,0,1,0,0
85,NGC 3258,10h28m53.5569s,-35d36m19.878s,157.2231539,-35.6055219,0.0096,2878.0075968,SUN,G,"IR,Radio,UV,Vis",21.4493889860467,192,7,81,24,21,19,37,29,6,1
86,[CBR2013] ACO 04,10h28m57.6000s,-35d37m23.000s,157.24,-35.62305555556,0.00934,2800.06155772,UUN,G,,21.7926470067934,1,0,0,1,2,0,0,0,0,0
87,NGC 3258A,10h28m19.1713s,-35d27m16.436s,157.0798806,-35.4545658,0.00924639671889278,2772.0,UUN,G,"IR,UV",21.8374455397661,27,1,50,14,10,18,0,4,4,0
88,WISEA J103046.69-353919.3,10h30m46.6915s,-35d39m19.350s,157.6945479,-35.6553752,0.0113812069281609,3411.99999999999,UUN,,"IR,Radio,UV",21.9356184669864,3,0,16,5,2,0,0,0,0,0
89,Antlia GROUP:[FS90] 133,10h29m12.0000s,-35d39m28.000s,157.3,-35.65777777778,0.00740178727244699,2219.0,UUN,G,,22.0911027538894,5,0,2,4,3,0,0,1,0,0
90,2MASX J10291155-3539289,10h29m11.5723s,-35d39m28.418s,157.298218,-35.657894,0.007412,2222.061698696,SLS,G,IR,22.1355909806848,8,0,15,7,5,2,0,0,1,1
91,[CBR2013] ACO 10,10h28m59.8000s,-35d38m11.000s,157.24916666667,-35.63638888889,0.008726,2615.988988508,UUN,G,,22.2012754591624,1,0,0,1,2,0,0,0,0,0
92,[CBR2013] ACO 02,10h28m49.2000s,-35d37m18.000s,157.205,-35.62166666667,0.009376,2810.854086208,UUN,G,,22.759381794931,1,0,0,1,2,0,0,0,0,0
93,KAT7HI J103100-350027,10h31m00.0000s,-35d00m27.000s,157.75,-35.0075,0.0104805838711259,3141.99999999999,SUN,G,Radio,22.7980562604195,1,0,0,1,1,0,0,0,0,0
94,WISEA J102945.75-354220.8,10h29m45.7595s,-35d42m20.847s,157.4406647,-35.705791,0.0089895523655902,2695.0,UUN,G,"IR,UV",22.9155959269695,15,0,37,12,7,2,0,1,1,1
95,ESO 375- G 034,10h28m23.9591s,-35d31m46.682s,157.0998298,-35.5296339,0.00830241032948201,2489.0,UUN,G,IR,22.9556275875442,26,1,35,14,11,14,1,2,3,1
96,GALEXASC J103133.77-353217.1,10h31m33.7072s,-35d32m16.527s,157.890446838219,-35.5379243585708,0.0107674489929963,3227.99999999999,SUN,G,"Radio,UV",22.9982339171936,2,0,8,4,1,0,0,1,0,0
97,MCG -06-23-034,10h29m11.0531s,-35d41m15.502s,157.2960549,-35.6876397,0.00719831317437612,2158.0,UUN,G,"IR,Radio,UV",23.793581985808,12,0,36,12,7,4,0,1,2,0
98,GALEXASC J102915.11-354141.6,10h29m15.0940s,-35d41m41.456s,157.312892054447,-35.694848939911,0.0130190066355839,3903.00000000001,SUN,G,"Radio,UV",23.8644461908092,6,0,10,8,4,0,0,1,0,0
99,NGC 3281B,10h31m52.1887s,-35d12m17.953s,157.9674532,-35.204987,0.008082,2422.922645556,SLS,G,IR,24.1354346883127,23,1,27,12,7,3,0,1,2,1
100,NGC 3258D,10h31m55.7282s,-35d24m35.035s,157.9822009,-35.4097321,0.008259,2475.985910622,SUN,G,"IR,Vis",24.2141504379673,38,3,38,16,12,18,5,12,4,3
101,WISEA J102816.06-353201.8,10h28m16.0680s,-35d32m01.824s,157.06695,-35.53384,0.00799219572094772,2396.0,UUN,G,IR,24.4601220038499,6,0,27,6,4,2,0,1,1,0
102,WISEA J102803.15-352631.4,10h28m03.1573s,-35d26m31.470s,157.0131554,-35.4420752,0.0107374282244285,3219.0,UUN,G,"IR,Radio,UV",24.7009346775303,13,0,37,11,8,2,0,1,1,1
103,NGC 3257,10h28m47.1184s,-35d39m29.333s,157.1963267,-35.6581481,0.0107974697615642,3237.00000000001,UUN,G,"IR,UV",24.7480368744815,57,4,54,18,13,19,7,13,4,0
104,IC 2584,10h29m51.4769s,-34d54m41.954s,157.4644872,-34.9116539,0.008503,2549.135270374,SUN,G,"IR,UV",24.9574927060074,35,3,63,16,10,18,0,4,4,1
105,NGC 3281A,10h31m58.4627s,-35d11m54.106s,157.9935948,-35.198363,0.007635,2288.91541683,SUN,G,"IR,UV",25.4772509360918,16,2,34,11,5,16,0,3,3,0
106,[CBR2013] ACO 01,10h28m08.1000s,-35d33m57.000s,157.03375,-35.56583333333,0.01013,3036.89759954,UUN,G,,26.8424086127857,1,0,0,1,2,0,0,0,0,0
107,GALEXASC J102831.57-354036.9,10h28m31.5994s,-35d40m36.875s,157.131664193904,-35.6769099653063,0.00817232033235473,2450.0,SUN,G,"Radio,UV",27.5948475155418,4,0,10,5,2,0,0,1,0,0
108,2MFGC 08174,10h32m14.4755s,-35d15m33.855s,158.0603149,-35.2594043,0.012759,3825.051971622,SLS,G,"IR,UV",27.8382614958518,11,0,35,9,5,2,0,1,1,1
109,WISEA J102806.72-353526.4,10h28m06.7200s,-35d35m26.495s,157.0280002,-35.5906931,0.009553,2863.917351274,UUN,G,IR,27.8963657209963,8,0,26,8,5,0,0,1,0,0
110,WISEA J102831.93-354218.4,10h28m31.9345s,-35d42m18.462s,157.1330605,-35.7051284,0.00930977389698042,2791.0,UUN,G,"IR,UV,Vis",28.8607870082437,20,0,46,15,8,2,0,1,1,1
111,WISEA J102808.23-353824.4,10h28m08.2326s,-35d38m24.430s,157.0343028,-35.6401196,0.00996022388261682,2986.0,UUN,G,"IR,UV",29.4376652429791,14,0,37,10,8,2,0,1,1,1
112,WISEA J102819.79-354238.3,10h28m19.7929s,-35d42m38.373s,157.0824705,-35.7106592,0.00968670132455434,2904.0,UUN,,"IR,UV",30.6958958691026,1,0,20,4,1,0,0,0,0,0
113,WISEA J102956.54-344739.7,10h29m56.5450s,-34d47m39.759s,157.4856043,-34.7943777,0.00999358029213664,2996.0,SUN,,"IR,Radio,UV",31.9458886321852,1,0,16,3,1,0,0,0,0,0
114,ESO 375- G 028,10h27m20.4271s,-35d16m27.059s,156.835113,-35.2741832,0.009777,2931.070861866,SLS,G,"IR,UV",32.6070124917474,24,2,42,15,8,16,0,3,3,1
115,WISEA J102819.23-354530.7,10h28m19.2326s,-35d45m30.719s,157.0801362,-35.7585333,0.008402,2518.856232116,SLS,G,IR,32.9730369380641,18,0,29,11,8,2,0,1,1,1
116,LEDA 083207,10h31m57.1466s,-34d53m45.445s,157.98811120232,-34.89595694779,0.00928642441031655,2784.0,UUN,G,,35.3120210535752,3,0,0,3,2,0,0,1,0,0
117,NGC 3258E,10h32m24.9056s,-34d59m53.696s,158.1037736,-34.9982491,0.0102,3057.8830716,SUN,G,"IR,UV",35.6603927647638,35,3,43,14,9,17,7,9,4,2
118,NGC 3281,10h31m52.0826s,-34d51m13.269s,157.967011,-34.853686,0.011554660257664,3464.0,SLS,G,"Gamma,IR,Radio,Xray",36.5510792117854,360,16,150,54,74,18,0,19,22,3
119,WISEA J102757.40-354918.1,10h27m57.4008s,-35d49m18.149s,156.9891701,-35.8217081,0.007542,2261.034718236,SLS,G,"IR,UV",38.708977617383,10,0,31,9,6,2,0,1,1,1
120,WISEA J103050.37-355837.1,10h30m50.4072s,-35d58m37.257s,157.71003,-35.977016,0.0107907984796602,3234.99999999999,SUN,,"IR,Radio,UV",40.3657211225533,1,0,21,4,1,0,0,0,0,0
121,WISEA J103103.27-344018.3,10h31m03.2727s,-34d40m18.395s,157.7636363,-34.6717765,0.008172,2449.903966776,SLS,G,"IR,UV",41.4101741604234,11,0,29,10,7,2,0,1,1,1
122,NGC 3281C,10h32m59.5517s,-34d53m10.227s,158.2481321,-34.8861742,0.00927,2779.07608566,SUN,G,"IR,UV",45.3300868623115,25,4,38,13,9,17,0,5,4,1
123,WISEA J103008.50-360616.8,10h30m08.5092s,-36d06m16.878s,157.535455,-36.1046885,0.00747517137339059,2241.0,SUN,G,"IR,UV",46.7143240562143,4,0,16,4,1,0,0,1,0,0
124,WISEA J103208.48-344029.4,10h32m08.4812s,-34d40m29.439s,158.0353387,-34.6748442,0.008633,2588.108289914,SLS,G,"IR,UV",47.1965608791664,12,0,31,9,6,2,0,1,1,1
125,IC 2587,10h30m59.6274s,-34d33m46.617s,157.7484477,-34.5629492,0.007042,2111.138489236,SUN,G,"IR,UV,Vis",47.4539348519526,38,3,49,12,9,19,0,6,4,1
126,WISEA J102611.92-350852.7,10h26m11.9280s,-35d08m52.706s,156.5497001,-35.1479739,0.00984681209024945,2952.0,SUN,,"IR,Radio,UV",47.6879750136257,1,0,16,3,1,0,0,0,0,0
127,ESO 375- G 054,10h31m48.1906s,-36d01m53.609s,157.9507945,-36.0315582,0.0105673105358775,3168.00000000001,UUN,G,IR,47.7047499326531,27,2,34,12,10,16,0,4,3,2
128,WISEA J103212.71-344024.2,10h32m12.7186s,-34d40m24.284s,158.0529945,-34.6734123,0.007102,2129.126036716,SLS,G,"IR,UV",47.7582672424547,18,0,31,11,7,2,0,1,1,1
129,ESO 375- G 064,10h34m00.7450s,-35d16m56.485s,158.5031045,-35.282357,0.00858260416944845,2573.0,UUN,G,"IR,UV",49.2929969516017,25,2,43,15,10,16,0,6,4,1
130,NGC 3249,10h26m22.2114s,-34d57m48.825s,156.5925475,-34.9635625,0.011361,3405.942115338,S1L,G,"IR,Radio,UV,Vis",49.4735042513405,39,2,47,16,15,17,1,12,4,3
131,WISEA J102733.03-355910.6,10h27m33.0314s,-35d59m10.664s,156.8876309,-35.9862957,0.00908,2722.11551864,SLS,G,"IR,UV",49.5100323031949,15,0,35,12,7,2,0,1,1,1
132,NGC 3289,10h34m07.4142s,-35d19m23.934s,158.5308927,-35.323315,0.00918599963,2753.89340826479,SUN,G,"IR,UV",50.5693492823598,46,4,45,15,11,18,0,7,4,1
133,WISEA J103200.05-343036.9,10h32m00.0519s,-34d30m36.984s,158.0002164,-34.5102734,0.011912,3571.127759696,SLS,G,IR,54.8673404411185,8,0,27,7,4,2,0,0,1,1
134,ESO 375- G 030,10h27m47.1548s,-34d31m53.350s,156.946478392365,-34.5314862392265,0.010814,3241.955640812,S1L,G,"Radio,UV",54.8843996181833,13,1,14,8,5,11,0,2,2,0
135,WISEA J103213.25-343157.4,10h32m13.2517s,-34d31m57.479s,158.0552157,-34.5326333,0.0110576497558187,3314.99999999999,SUN,,"IR,UV",54.969462436103,1,0,16,3,1,0,0,0,0,0
136,ESO 375- G 047,10h30m19.5404s,-34d24m17.247s,157.5814186,-34.404791,0.01014,3039.89552412,SUN,G,"IR,Radio,UV",55.4680607269755,44,2,49,17,14,17,7,11,4,3
137,WISEA J102650.82-343845.4,10h26m50.8249s,-34d38m45.489s,156.7117708,-34.6459694,0.0130223422765359,3904.00000000001,SUN,G,"IR,UV",56.2274241508509,4,0,16,4,1,0,0,1,0,0
138,GALEXASC J103102.44-342410.1,10h31m02.4415s,-34d24m10.123s,157.760173113505,-34.4028121931374,0.0126554217718179,3794.0,SUN,,"Radio,UV",56.9181182916514,1,0,4,2,1,0,0,0,0,0
139,WISEA J103209.61-342747.0,10h32m09.6175s,-34d27m47.099s,158.0400732,-34.4630833,0.009797,2937.066711026,SLS,G,"IR,UV",58.2838817022845,6,0,16,6,3,0,0,0,0,1
140,WISEA J103445.03-352814.1,10h34m45.0344s,-35d28m14.199s,158.6876435,-35.470611,0.008879,2661.857234582,SLS,G,"IR,UV",58.8261450326331,15,0,30,9,5,2,0,1,1,2
