ra,dec,name,color,radius
71.4476,-59.2477,Field1,blue,3960.000000000001
66.7167,-55.0722,Field2,blue,3960.000000000001
63.6977,-55.6902,Field3,blue,3960.000000000001
65.9529,-57.0202,Field4,blue,3960.000000000001
62.6324,-57.7644,Field5,blue,3960.000000000001
60.31343960054607,-53.48964843642176,,red,5.0
61.01017948500232,-54.09987598243031,,red,5.0
61.76410320457189,-55.32297423672392,,red,5.0
62.22541826017157,-55.99235931461137,,red,5.0
62.25979101640939,-56.01156740207083,,red,5.0
62.46600786907948,-56.11843922620616,,red,5.0
62.74962486513004,-56.48160912949378,,red,5.0
63.17986817222354,-57.73785411072693,,red,5.0
63.58446464325638,-58.20747027446048,,red,5.0
63.65187782970791,-56.06068052347999,,red,5.0
63.6704782743549,-58.13196188527227,,red,5.0
63.93797397699787,-55.59223046776231,,red,5.0
64.04369321974897,-55.78001839709658,,red,5.0
64.476942090469,-55.93176900701678,,red,5.0
64.5306228848124,-55.93018469559954,,red,5.0
64.74799487023363,-58.25734421985842,,red,5.0
65.0019377770944,-54.93791329683209,,red,5.0
65.49479139994399,-56.9745637983426,,red,5.0
65.71547397072597,-56.22732993670925,,red,5.0
66.18703050976974,-54.94202021280294,,red,5.0
66.33242856533793,-56.82210884282492,,red,5.0
66.35681209524968,-56.74038986532975,,red,5.0
66.80761112770409,-57.4284408613246,,red,5.0
66.88609976970035,-54.19672123792854,,red,5.0
66.90884600857271,-55.02770050978952,,red,5.0
66.97327962745224,-56.32750467600219,,red,5.0
66.97750162543974,-55.05677330918896,,red,5.0
67.8515910401809,-54.41695916184568,,red,5.0
67.91406205819595,-54.6021493268077,,red,5.0
69.32531223849625,-55.92316377158966,,red,5.0
64.07072878404091,-54.89421546558445,,red,5.0
65.11122763067107,-54.74064070181056,,red,5.0
65.50250167011487,-54.9115912298946,,red,5.0
65.85810737001266,-55.27472500934952,,red,5.0
